Date,NCSKEW
2002-02-07,[nan]
2003-01-01,[-26.0063224]
2004-01-01,[nan]
2005-03-01,[-2.72994059]
2006-02-01,[-1.39358918]
2007-02-01,[-0.43551285]
2008-01-01,[-0.27890348]
2009-02-01,[-0.29674777]
2010-04-01,[nan]
2011-03-01,[-0.17894672]
2012-02-01,[nan]
2013-01-01,[-0.3721205]
2014-01-01,[nan]
2015-01-01,[nan]
2016-01-01,[-0.31042211]
2017-02-01,[-0.21452033]
2018-01-01,[-0.14925057]
2019-01-01,[-0.12381487]
2020-01-01,[-0.10059454]
2021-01-01,[-0.04407319]
2022-03-01,[-0.03285844]
2023-02-01,[nan]
